"IVT_ID","IVT_NAME","IVT_DESCRIPTION","LAB._ASSISTANT_student_id"
"11002","Gelas Beaker 1000ml","","3334150002"
"11003","Gelas Beaker 250ml","","3334150002"
"11004","Gelas Beaker 50ml","","3334150002"
"21001","Muffle Furnace","Max temp. 1400*C","3334150001"
"21002","Stir Casting Furnace","Max temp. 1000*C & RPM 900","3334150001"
"21003","Thermocouple Hi-Temp","Cap. 0-1500*C","3334150001"
"21004","Crusible 1L","Cap. 1000ML","3334150003"
"22001","Ethanol 96%","Merck","3334150003"
"22002","Pasir besi","","3334150003"
"22003","Pasir Silika","","3334150003"
"22004","Scrap Alumunium","","3334150003"
"22005","Sieve 30#","","3334150004"
"22006","Sieve 60#","","3334150004"
"22007","Sieve 100#","","3334150004"
"22008","Sieve 10#","","3334150004"
"11001","Gelas Beaker 100ml","pyrex","3334150002"
