"Item ID","Item Name","description","Responsible by","Rent Rate Daily","Insured Value","Quantity","Unit"
"21003","Thermocouple Hi-Temp","Cap. 0-1500*C","Fadillah,Fikri","75000","450000","",""
"21004","Crusible 1L","Cap. 1000ML","Huzaimawardanni,Titan","25000","125000","",""
"22005","Sieve 30#","","Akhmad,Andrian","10000","180000","",""
"22006","Sieve 60#","","Akhmad,Andrian","10000","180000","",""
"22007","Sieve 100#","","Akhmad,Andrian","15000","200000","",""
"22008","Sieve 10#","","Akhmad,Andrian","15000","230000","",""
"11001","Gelas Beaker 100ml","pyrex","Fernandi,Annan","15000","75000","",""
"11002","Gelas Beaker 1000ml","","Fernandi,Annan","25000","80000","",""
"11003","Gelas Beaker 250ml","","Fernandi,Annan","15000","55000","",""
"11004","Gelas Beaker 50ml","","Fernandi,Annan","15000","55000","",""
"21001","Muffle Furnace","Max temp. 1400*C","Fadillah,Fikri","2400000","100000000","",""
"21002","Stir Casting Furnace","Max temp. 1000*C & RPM 900","Fadillah,Fikri","1000000","75000000","",""
"22003","Pasir Silika","","Huzaimawardanni,Titan","","","15","kg"
"22002","Pasir besi","","Huzaimawardanni,Titan","","","10","kg"
"22004","Scrap Alumunium","","Huzaimawardanni,Titan","","","5","kg"
"22001","Ethanol 96%","Merck","Huzaimawardanni,Titan","","","2000","mL"
